"","SPH","JGI3","Mor24p","Mor23p","SPAM","Mor08p","R2e.","REIG","BEHp5","HATS4e"
"Aldrin",-1.47085116247213,0.880791887675789,-0.625245407806163,0.759534788590711,-0.886230542600439,-0.898670200671448,0.128888601787271,0.780024807026226,0.426773173489152,0.385310164298911
"Chlordane",-0.807712336608604,0.985369020705872,-0.38783055000523,0.502332609126325,-0.652764812982761,-0.49040701692978,0.269936505629945,0.51960366263994,0.044183942965952,0.618282826266481
"Dichlorodiphenyltrichloroethane ",-0.169939476761711,-0.29570085891265,0.0869991655966363,-0.405019523984148,-0.244199786151824,0.176041295470948,0.0583646498659341,-0.00123862613263419,0.490160738309563,-1.12379633262535
"Dieldrin",-0.905552491244207,0.645493338358101,-0.277981884455545,0.399928037672912,-0.69167576791904,-1.91360484436569,-0.012159302055403,0.555523820486325,0.653157333562051,0.263608027450181
"Endrin",-0.905552491244207,0.645493338358101,-0.277981884455545,0.399928037672912,-0.69167576791904,-1.91360484436569,-0.012159302055403,0.555523820486325,0.653157333562051,0.263608027450181
"Heptachlor",-1.36938729840558,1.08994615373596,-0.731550568015536,0.63807820384364,-0.574942903110201,-0.690087141065113,0.458000377420177,0.618384096717497,-0.207102474714966,0.917322362523361
"Hexachlorobenzene",1.38463186911509,-0.29570085891265,0.299609486015383,-0.431216042262928,1.0398617267454,0.0285069362371988,-0.952478661006563,-2.10256786014612,-1.58351816795819,-0.565705105076168
"Mirex",-1.49621712848877,2.58017029941464,-2.67339149450675,2.50993850994556,-1.13915174968626,-0.795650518792709,0.269936505629945,-0.0461388234406147,0.297734202247599,2.16042276033539
"Toxaphene",-1.52520680393636,1.35138898631116,-0.919356351052096,0.380876024379254,-1.68390511879417,0.280332825274115,0.0583646498659341,0.842885083257399,0.390551707877488,0.660009273186046
"2,2'-Dichlorobiphenyl",0.261281945521131,-0.504855124972816,0.147238756381948,-0.76224477324024,0.00872142093399379,0.0717497656677804,0.316952473577503,0.609404057255901,0.490160738309563,-0.88560786479283
"2,2',3,4',5,5',6-Heptachloro-1,1'-biphenyl",0.148946953161735,-0.504855124972816,0.104716692298199,-1.09327350421755,0.514563835105628,-0.500581800325211,-0.576350917426099,-0.423300480827651,0.714281056781733,-0.501376832741839
"2,2',4,4',5,5'-Hexachlorobiphenyl",0.591039503737422,-0.740153674290504,0.175586799104447,-1.29570114546267,0.611841222446328,-0.267833630154728,-0.576350917426099,-0.180839415364556,0.687114957572985,-0.696100251699807
"2,3,7,8-Tetrachlorodibenzodioxin",1.38463186911509,-1.1061736398958,0.997680038056932,-0.669366208433656,0.670207654850747,-0.199153842235569,-1.09352656484924,-2.26420857045485,0.467522322302273,-1.55149241355088
"alpha-1,2,3,4,5,6-Hexachlorocyclohexane ",-0.535934129287485,-0.29570085891265,-0.632332418486788,0.869083865029246,-0.71113124538718,0.561411216572895,0.38747642549884,1.36372737202997,-1.05830691658907,0.892981935153615
"beta-Hexachlorocyclohexane ",0.032988251371391,-0.29570085891265,-0.905182329690846,1.25965013754924,-0.73058672285532,0.225643364523674,0.269936505629945,1.41760760879955,-1.05830691658907,0.813006245224449
"Chlordecone (Kepone)",-1.4309903587317,2.60631458267216,-2.18438775754364,2.19319878893849,-0.847319587664159,-0.945728573875316,0.481508361393956,0.0616216500985386,0.02607321016012,2.20388780920994
"1,1'-Oxybis[2,3,4,5,6-pentabromobenzene] ",0.272153073813976,-0.452566558457774,1.53274934444411,-1.57433683988242,0.514563835105628,2.01258969834624,-0.78792277319011,-0.917202651215436,1.27344993216179,-0.664805416510134
"1,2,5,6,9,10-Hexabromocyclododecane ",0.0511067985261323,-1.05388507338075,1.50794480706192,-0.89322736463414,-2.09247014562511,2.13723079494027,-1.09352656484924,0.735124609718246,1.17384090172972,-0.753474116214209
"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.127204696576046,-0.844730807320587,1.53629284978442,-1.06469548427706,0.475652880169349,1.24057800821791,-0.717398821268773,-0.5400409938284,0.836528503221099,-0.882130660882867
"Hexachloro-1,3-butadiene",1.3556421936675,-0.504855124972816,0.707112600151313,0.18321138645755,2.36283419457891,-0.105037095827833,4.1252458773297,0.241222439330461,-2.72902201792706,0.899936342973543
"Lindane",-0.851196849779983,-0.29570085891265,-0.497679215554916,0.635696702181933,-0.964052452472998,0.513080995444598,0.38747642549884,1.40862756933795,-1.05830691658907,0.889504731243651
"Pentachlorobenzene",1.38463186911509,-0.32184514217017,0.356305571460381,-0.409782527307563,1.40951579864006,0.165866512075517,-0.78792277319011,-1.89602695252941,-1.77368086241943,-0.673498426285043
"Pentachlorophenol",1.30853397106518,-0.29570085891265,0.349218560779757,-0.28118143757537,1.19550554649052,0.0374098717082009,0.505016345367735,1.08534614872049,-1.60842042556621,0.833869468684232
"Perfluorooctanesulfonic acid",0.833828035610955,-0.112690876110004,0.767352190936624,0.404691040996327,0.572930267510048,-1.58928362363632,1.32779578445,-0.369420244058075,-0.216157841117882,-0.0249998970768085
"Chlorinated paraffins:C12, 60% chlorine",1.07661656748449,-0.844730807320587,-0.582723343722414,0.0808068150041366,0.689663132318887,0.78144090749909,-0.717398821268773,-0.782502059291495,0.795779354407977,-1.06294526420098
"Endosulfan I",-0.561300095304123,0.723926188130664,-0.494135710214603,0.616644688888274,-0.283110741088104,-0.284367653172303,0.38747642549884,0.483683504793556,0.632782759155489,0.712167331835502
"2,2',4,4'-Tetrabromodiphenyl ether",0.203302594625959,-0.92316365709315,0.661047030727251,-0.857504839708531,0.825851474595866,1.25584018331106,-0.646874869347436,-0.117979139133384,0.72107258158392,-0.896039476522721
"2,2',4,4',5-Pentabromodiphenyl ether",0.228668560642597,-0.870875090578108,1.22446437983693,-1.13852203578999,0.942584339404705,1.22913137689805,-0.646874869347436,-0.279619849442114,0.7663494135985,-0.902993884342649
"1-Chloronaphthalene",1.38463186911509,-0.949307940350671,0.735460642873812,-0.957527909500237,0.35892001536051,-0.122842966769837,-0.811430757163889,-1.35722458483365,-0.247851623528088,-1.32895136331321
